dataset,survey_item,sub_survey_item,Persona 1 - Ahmed,Persona 2 - Jassim,Persona 3 - Amine,Persona 4 - Mahmoud,Persona 5 - Mustafa,Persona 6 - Ahmad,Persona 7 - Mohammed,Persona 8 - Ali,Persona 9 - Mohamed,Persona 10 - Ayoub,Persona 11 - Hilal,Persona 12 - Mohammad,Persona 13 - Fahad,Persona 14 - Abdullah,Persona 15 - Aymen,Persona 16 - Marwan,
Personas - Survey2Persona 00,Social media providers clearly explain how they use my information ,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,
Personas - Survey2Persona 00,Social media providers have straightforward and easy-to-understand policies about how they use my information,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 00,Social media providers must get my permission before they gather and utilize my personal information ,,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,
Personas - Survey2Persona 00,Telegram (time spent during a typical day),,Do't use,Do't use,Less than 1 hour,Less than 1 hour,Less than 1 hour,Do't use,Do't use,Do't use,Less than 1 hour,Do't use,Do't use,Less than 1 hour,Do't use,Less than 1 hour,Do't use,Less than 1 hour,
Personas - Survey2Persona 00,The government is doing enough to protect consumers against social media privacy violations,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,
Personas - Survey2Persona 00,There are strong international laws to protect peopleâ€™s personal information on social media,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 00,Think of the social media app you use the most and suggest what the app provider should do to improve users' privacy  Please mention the app as well:,,Social media app,Social media app,Social media app,Social media app,Social media app,Social media app,Social media app,Social media app,Social media app,Social media app,Social media app,Social media app,Social media app,Social media app,Social media app,Social media app,
Personas - Survey2Persona 00,TikTok (time spent during a typical day),,Less than 1 hour,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Less than 1 hour,1-3 hours,Do't use,Do't use,
Personas - Survey2Persona 00,Twitter  (time spent during a typical day),,Less than 1 hour,Do't use,Do't use,Less than 1 hour,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Less than 1 hour,Do't use,Do't use,
Personas - Survey2Persona 00,Using social media are a waste of time for me,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,
Personas - Survey2Persona 00,Using social media are enjoyable for me,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 00,Using social media help me learn and grow,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 00,Using social media lets me do what I want,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,
Personas - Survey2Persona 00,Using social media strengthens and supports my relationships with people in real life,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 00,What measures do you take to ensure your privacy on social media:,,Privacy measures,Privacy measures,Privacy measures,Privacy measures,(Uncertain Theme),Privacy measures,(Uncertain Theme),Privacy measures,(Uncertain Theme),(Uncertain Theme),Privacy measures,Privacy measures,(Uncertain Theme),Privacy measures,(Uncertain Theme),Privacy measures,
Personas - Survey2Persona 00,WhatsApp (time spent during a typical day),,1-3 hours,1-3 hours,Less than 1 hour,1-3 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,1-3 hours,Less than 1 hour,Less than 1 hour,1-3 hours,Less than 1 hour,1-3 hours,Less than 1 hour,Less than 1 hour,1-3 hours,
Personas - Survey2Persona 00,YouTube (time spent during a typical day),,1-3 hours,1-3 hours,1-3 hours,1-3 hours,1-3 hours,1-3 hours,1-3 hours,Less than 1 hour,1-3 hours,1-3 hours,1-3 hours,Less than 1 hour,1-3 hours,1-3 hours,1-3 hours,1-3 hours,
Personas - Survey2Persona 10,Age,,25-34,25-34,25-34,25-34,18-24,25-34,25-34,25-34,18-24,25-34,25-34,18-24,25-34,35-44,25-34,25-34,
Personas - Survey2Persona 10,"As a resident of a non-western country, I believe the major social media platforms do not take my privacy concerns seriously",,Neither Disagree Nor Agree,Neither Disagree Nor Agree,Agree,Agree,Agree,Agree,Neither Disagree Nor Agree,Agree,Agree,Agree,Neither Disagree Nor Agree,Agree,Agree,Neither Disagree Nor Agree,Agree,Agree,
Personas - Survey2Persona 10,Baaz (time spent during a typical day),,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,
Personas - Survey2Persona 10,"Compared to most people in the country you are living in, how would you describe yourself?",,Culturally progressive,Culturally progressive,Culturally conservative,Culturally progressive,Culturally conservative,Culturally conservative,Culturally conservative,Culturally progressive,Culturally conservative,(No response),Culturally progressive,Culturally conservative,Culturally progressive,Culturally conservative,Culturally progressive,Culturally conservative,
Personas - Survey2Persona 10,Country,,United Arab Emirates,Bahrain,Algeria,Egypt,Iraq,Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,"Palestine, State of",Qatar,Saudi Arabia,Tunisia,Yemen,
Personas - Survey2Persona 10,Country of origin,,India,Bahrain,Algeria,Egypt,Iraq,Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,Palestine State,Qatar,Saudi Arabia,Tunisia,Yemen,
Personas - Survey2Persona 10,Disclosing my personal information on social media is risky,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 10,Disclosing my personal information on social media may bring me unpredicted problems,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 10,Disclosing my personal information on social media may bring potential losses,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,
Personas - Survey2Persona 10,Do you haveÂ childcareÂ responsibilities?,,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,
Personas - Survey2Persona 10,Do you think parents should be concerned about their childre's use of social media? Why or Why not?,,Parental concern on children's use of social media,Parental concern on children's use of social media,Parental concern on children's use of social media,(Uncertain Theme),(Uncertain Theme),(Uncertain Theme),(Uncertain Theme),Parental concern on children's use of social media,(Uncertain Theme),Parental concern on children's use of social media,Parental concern on children's use of social media,Parental concern on children's use of social media,Parental concern on children's use of social media,(Uncertain Theme),Parental concern on children's use of social media,Parental concern on children's use of social media,
